date,item_id,stock_level,movement_type,quantity
2025-04-24,ITM001,4797,out,417
2025-04-25,ITM001,5058,out,207
2025-04-26,ITM001,4748,in,462
2025-04-27,ITM001,5001,adjustment,60
2025-04-28,ITM001,4966,out,178
2025-04-29,ITM001,4780,out,332
2025-04-30,ITM001,4923,adjustment,61
2025-05-01,ITM001,4703,in,490
2025-05-02,ITM001,4975,in,247
2025-05-03,ITM001,4872,out,53
2025-05-04,ITM001,4962,in,279
2025-05-05,ITM001,4614,out,190
2025-05-06,ITM001,5064,out,303
2025-05-07,ITM001,4748,out,57
2025-05-08,ITM001,4851,in,276
2025-05-09,ITM001,4960,in,317
2025-05-10,ITM001,4840,out,350
2025-05-11,ITM001,5086,out,448
2025-05-12,ITM001,4863,adjustment,269
2025-05-13,ITM001,4907,adjustment,392
2025-05-14,ITM001,4698,in,64
2025-05-15,ITM001,5084,in,422
2025-05-16,ITM001,4954,out,326
2025-05-17,ITM001,4743,in,60
2025-05-18,ITM001,4924,out,335
2025-05-19,ITM001,4838,out,255
2025-05-20,ITM001,4840,out,337
2025-05-21,ITM001,4727,adjustment,297
2025-05-22,ITM001,4730,adjustment,375
2025-05-23,ITM001,4819,adjustment,322
2025-05-24,ITM001,4835,in,252
2025-05-25,ITM001,4665,in,223
2025-05-26,ITM001,4913,out,148
2025-05-27,ITM001,4676,adjustment,275
2025-05-28,ITM001,4760,adjustment,352
2025-05-29,ITM001,5057,adjustment,306
2025-05-30,ITM001,4684,out,356
2025-05-31,ITM001,5063,out,167
2025-06-01,ITM001,4714,out,293
2025-06-02,ITM001,4724,in,63
2025-06-03,ITM001,4739,out,213
2025-06-04,ITM001,4653,out,361
2025-06-05,ITM001,4828,out,492
2025-06-06,ITM001,4831,out,113
2025-06-07,ITM001,4890,out,309
2025-06-08,ITM001,4788,in,153
2025-06-09,ITM001,4747,adjustment,480
2025-06-10,ITM001,5093,adjustment,400
2025-06-11,ITM001,4594,out,352
2025-06-12,ITM001,5040,out,329
2025-06-13,ITM001,4869,out,475
2025-06-14,ITM001,4853,adjustment,341
2025-06-15,ITM001,4926,in,293
2025-06-16,ITM001,4912,in,498
2025-06-17,ITM001,4728,adjustment,90
2025-06-18,ITM001,4828,out,366
2025-06-19,ITM001,4974,out,410
2025-06-20,ITM001,4538,in,498
2025-06-21,ITM001,4956,out,413
2025-06-22,ITM001,4809,out,269
2025-06-23,ITM001,4985,out,327
2025-06-24,ITM001,4563,adjustment,100
2025-06-25,ITM001,5072,out,170
2025-06-26,ITM001,4931,adjustment,371
2025-06-27,ITM001,4883,out,114
2025-06-28,ITM001,4749,out,310
2025-06-29,ITM001,4935,out,313
2025-06-30,ITM001,4693,out,476
2025-07-01,ITM001,4875,in,277
2025-07-02,ITM001,5026,out,97
2025-07-03,ITM001,4841,out,191
2025-07-04,ITM001,4962,out,228
2025-07-05,ITM001,4552,adjustment,181
2025-07-06,ITM001,5016,in,422
2025-07-07,ITM001,4934,adjustment,112
2025-07-08,ITM001,4811,in,159
2025-07-09,ITM001,4619,out,416
2025-07-10,ITM001,4719,out,166
2025-07-11,ITM001,4730,out,483
2025-07-12,ITM001,4831,out,339
2025-07-13,ITM001,4871,out,165
2025-07-14,ITM001,4864,out,288
2025-07-15,ITM001,4816,adjustment,252
2025-07-16,ITM001,4658,out,130
2025-07-17,ITM001,5057,out,383
2025-07-18,ITM001,4768,out,245
2025-07-19,ITM001,4817,in,259
2025-07-20,ITM001,4795,out,475
2025-07-21,ITM001,5067,out,323
2025-07-22,ITM001,4629,out,63
2025-07-23,ITM001,4632,out,113
2025-04-24,ITM002,1833,adjustment,425
2025-04-25,ITM002,1378,out,338
2025-04-26,ITM002,1740,out,330
2025-04-27,ITM002,1968,out,438
2025-04-28,ITM002,1665,adjustment,441
2025-04-29,ITM002,1785,in,338
2025-04-30,ITM002,1939,out,485
2025-05-01,ITM002,1534,in,441
2025-05-02,ITM002,1839,in,493
2025-05-03,ITM002,1779,out,391
2025-05-04,ITM002,1728,out,467
2025-05-05,ITM002,1584,out,160
2025-05-06,ITM002,1624,out,77
2025-05-07,ITM002,1995,in,359
2025-05-08,ITM002,1602,in,473
2025-05-09,ITM002,1759,in,423
2025-05-10,ITM002,1573,in,432
2025-05-11,ITM002,1753,adjustment,330
2025-05-12,ITM002,1873,out,416
2025-05-13,ITM002,1713,out,207
2025-05-14,ITM002,1751,out,187
2025-05-15,ITM002,1518,in,438
2025-05-16,ITM002,1978,adjustment,385
2025-05-17,ITM002,1691,out,418
2025-05-18,ITM002,1812,out,385
2025-05-19,ITM002,1879,in,492
2025-05-20,ITM002,1643,in,226
2025-05-21,ITM002,1702,out,222
2025-05-22,ITM002,1778,out,312
2025-05-23,ITM002,1724,out,488
2025-05-24,ITM002,1847,out,288
2025-05-25,ITM002,1628,out,312
2025-05-26,ITM002,1722,out,436
2025-05-27,ITM002,1550,out,141
2025-05-28,ITM002,1877,in,461
2025-05-29,ITM002,1761,in,354
2025-05-30,ITM002,1642,in,52
2025-05-31,ITM002,1916,in,108
2025-06-01,ITM002,1560,out,259
2025-06-02,ITM002,1818,out,286
2025-06-03,ITM002,1462,out,244
2025-06-04,ITM002,1931,in,333
2025-06-05,ITM002,1911,out,202
2025-06-06,ITM002,1617,out,90
2025-06-07,ITM002,1871,in,438
2025-06-08,ITM002,1879,out,155
2025-06-09,ITM002,1663,out,156
2025-06-10,ITM002,1636,adjustment,113
2025-06-11,ITM002,1875,out,149
2025-06-12,ITM002,1706,out,462
